,Symbol,Order,Shares
2010-10-14,IBM,SELL,2000
2010-10-15,IBM,BUY,2000
2010-10-18,IBM,SELL,2000
2010-10-19,IBM,BUY,2000
2010-10-20,IBM,,0
2010-10-21,IBM,SELL,2000
2010-10-22,IBM,BUY,2000
2010-10-25,IBM,,0
2010-10-26,IBM,,0
2010-10-27,IBM,SELL,2000
2010-10-28,IBM,BUY,2000
2010-10-29,IBM,SELL,2000
2010-11-01,IBM,BUY,2000
2010-11-02,IBM,,0
2010-11-03,IBM,,0
2010-11-04,IBM,,0
2010-11-05,IBM,,0
2010-11-08,IBM,SELL,2000
2010-11-09,IBM,BUY,2000
2010-11-10,IBM,SELL,2000
2010-11-11,IBM,,0
2010-11-12,IBM,,0
2010-11-15,IBM,,0
2010-11-16,IBM,,0
2010-11-17,IBM,BUY,2000
2010-11-18,IBM,,0
2010-11-19,IBM,,0
2010-11-22,IBM,SELL,2000
2010-11-23,IBM,BUY,2000
2010-11-24,IBM,SELL,2000
2010-11-26,IBM,,0
2010-11-29,IBM,,0
2010-11-30,IBM,BUY,2000
2010-12-01,IBM,,0
2010-12-02,IBM,,0
2010-12-03,IBM,SELL,2000
2010-12-06,IBM,,0
2010-12-07,IBM,BUY,2000
2010-12-08,IBM,SELL,2000
2010-12-09,IBM,BUY,2000
2010-12-10,IBM,SELL,2000
2010-12-13,IBM,BUY,2000
2010-12-14,IBM,SELL,2000
2010-12-15,IBM,,0
2010-12-16,IBM,BUY,2000
2010-12-17,IBM,SELL,2000
2010-12-20,IBM,BUY,2000
2010-12-21,IBM,,0
2010-12-22,IBM,SELL,2000
2010-12-23,IBM,,0
2010-12-27,IBM,BUY,2000
2010-12-28,IBM,,0
2010-12-29,IBM,,0
2010-12-30,IBM,,0
2010-12-31,IBM,,0
2011-01-03,IBM,,0
2011-01-04,IBM,SELL,2000
2011-01-05,IBM,BUY,2000
2011-01-06,IBM,SELL,2000
2011-01-07,IBM,,0
2011-01-10,IBM,,0
2011-01-11,IBM,BUY,2000
2011-01-12,IBM,SELL,2000
2011-01-13,IBM,BUY,2000
2011-01-14,IBM,,0
2011-01-18,IBM,,0
2011-01-19,IBM,,0
2011-01-20,IBM,SELL,2000
2011-01-21,IBM,BUY,2000
2011-01-24,IBM,,0
2011-01-25,IBM,SELL,2000
2011-01-26,IBM,BUY,2000
2011-01-27,IBM,SELL,2000
2011-01-28,IBM,BUY,2000
2011-01-31,IBM,,0
2011-02-01,IBM,SELL,2000
2011-02-02,IBM,BUY,2000
2011-02-03,IBM,,0
2011-02-04,IBM,,0
2011-02-07,IBM,,0
2011-02-08,IBM,SELL,2000
2011-02-09,IBM,,0
2011-02-10,IBM,,0
2011-02-11,IBM,,0
2011-02-14,IBM,,0
2011-02-15,IBM,BUY,2000
2011-02-16,IBM,,0
2011-02-17,IBM,,0
2011-02-18,IBM,SELL,2000
2011-02-22,IBM,,0
2011-02-23,IBM,BUY,2000
2011-02-24,IBM,,0
2011-02-25,IBM,SELL,2000
2011-02-28,IBM,,0
2011-03-01,IBM,BUY,2000
2011-03-02,IBM,,0
2011-03-03,IBM,SELL,2000
2011-03-04,IBM,,0
2011-03-07,IBM,BUY,2000
2011-03-08,IBM,,0
2011-03-09,IBM,SELL,2000
2011-03-10,IBM,BUY,2000
2011-03-11,IBM,SELL,2000
2011-03-14,IBM,,0
2011-03-15,IBM,,0
2011-03-16,IBM,BUY,2000
2011-03-17,IBM,,0
2011-03-18,IBM,,0
2011-03-21,IBM,,0
2011-03-22,IBM,,0
2011-03-23,IBM,,0
2011-03-24,IBM,,0
2011-03-25,IBM,SELL,2000
2011-03-28,IBM,BUY,2000
2011-03-29,IBM,,0
2011-03-30,IBM,SELL,2000
2011-03-31,IBM,BUY,2000
2011-04-01,IBM,SELL,2000
2011-04-04,IBM,,0
2011-04-05,IBM,BUY,2000
2011-04-06,IBM,,0
2011-04-07,IBM,SELL,2000
2011-04-08,IBM,,0
2011-04-11,IBM,,0
2011-04-12,IBM,BUY,2000
2011-04-13,IBM,,0
2011-04-14,IBM,,0
2011-04-15,IBM,SELL,2000
2011-04-18,IBM,,0
2011-04-19,IBM,,0
2011-04-20,IBM,BUY,2000
2011-04-21,IBM,SELL,2000
2011-04-25,IBM,BUY,2000
2011-04-26,IBM,,0
2011-04-27,IBM,,0
2011-04-28,IBM,SELL,2000
2011-04-29,IBM,BUY,2000
2011-05-02,IBM,,0
2011-05-03,IBM,SELL,2000
2011-05-04,IBM,,0
2011-05-05,IBM,BUY,2000
2011-05-06,IBM,,0
2011-05-09,IBM,,0
2011-05-10,IBM,SELL,2000
2011-05-11,IBM,BUY,2000
2011-05-12,IBM,SELL,2000
2011-05-13,IBM,,0
2011-05-16,IBM,BUY,2000
2011-05-17,IBM,SELL,2000
2011-05-18,IBM,BUY,2000
2011-05-19,IBM,SELL,2000
2011-05-20,IBM,,0
2011-05-23,IBM,,0
2011-05-24,IBM,,0
2011-05-25,IBM,,0
2011-05-26,IBM,BUY,2000
2011-05-27,IBM,,0
2011-05-31,IBM,SELL,2000
2011-06-01,IBM,,0
2011-06-02,IBM,,0
2011-06-03,IBM,,0
2011-06-06,IBM,,0
2011-06-07,IBM,BUY,2000
2011-06-08,IBM,,0
2011-06-09,IBM,SELL,2000
2011-06-10,IBM,,0
2011-06-13,IBM,BUY,2000
2011-06-14,IBM,SELL,2000
2011-06-15,IBM,BUY,2000
2011-06-16,IBM,,0
2011-06-17,IBM,,0
2011-06-20,IBM,,0
2011-06-21,IBM,SELL,2000
2011-06-22,IBM,BUY,2000
2011-06-23,IBM,SELL,2000
2011-06-24,IBM,BUY,2000
2011-06-27,IBM,,0
2011-06-28,IBM,,0
2011-06-29,IBM,,0
2011-06-30,IBM,,0
2011-07-01,IBM,,0
2011-07-05,IBM,,0
2011-07-06,IBM,SELL,2000
2011-07-07,IBM,BUY,2000
2011-07-08,IBM,SELL,2000
2011-07-11,IBM,,0
2011-07-12,IBM,BUY,2000
2011-07-13,IBM,SELL,2000
2011-07-14,IBM,BUY,2000
2011-07-15,IBM,SELL,2000
2011-07-18,IBM,BUY,2000
2011-07-19,IBM,SELL,2000
2011-07-20,IBM,BUY,2000
2011-07-21,IBM,,0
2011-07-22,IBM,SELL,2000
2011-07-25,IBM,,0
2011-07-26,IBM,,0
2011-07-27,IBM,BUY,2000
2011-07-28,IBM,,0
2011-07-29,IBM,SELL,2000
2011-08-01,IBM,,0
2011-08-02,IBM,BUY,2000
2011-08-03,IBM,SELL,2000
2011-08-04,IBM,BUY,2000
2011-08-05,IBM,SELL,2000
2011-08-08,IBM,BUY,2000
2011-08-09,IBM,SELL,2000
2011-08-10,IBM,BUY,2000
2011-08-11,IBM,,0
2011-08-12,IBM,,0
2011-08-15,IBM,SELL,2000
2011-08-16,IBM,BUY,2000
2011-08-17,IBM,SELL,2000
2011-08-18,IBM,,0
2011-08-19,IBM,BUY,2000
2011-08-22,IBM,,0
2011-08-23,IBM,,0
2011-08-24,IBM,SELL,2000
2011-08-25,IBM,BUY,2000
2011-08-26,IBM,,0
2011-08-29,IBM,SELL,2000
2011-08-30,IBM,,0
2011-08-31,IBM,,0
2011-09-01,IBM,,0
2011-09-02,IBM,,0
2011-09-06,IBM,BUY,2000
